ID,TimePoint,MEMR,Level
Q348,pre,NaN,34
Q350,pre,NaN,34
Q351,pre,1.89659380693887e-06,34
Q363,pre,5.80011395403676e-12,34
Q364,pre,1.03173972265694e-07,34
Q365,pre,9.24059927893466e-07,34
Q368,pre,0.00199869677732803,34
Q348,pre,NaN,40
Q350,pre,NaN,40
Q351,pre,8.49993468251863e-06,40
Q363,pre,1.00271104675979e-10,40
Q364,pre,4.62393611939995e-07,40
Q365,pre,4.81155420944497e-06,40
Q368,pre,0.00364136436034703,40
Q348,pre,NaN,46
Q350,pre,NaN,46
Q351,pre,3.80938825337312e-05,46
Q363,pre,1.73346497901219e-09,46
Q364,pre,2.07230335425577e-06,46
Q365,pre,2.50534706539829e-05,46
Q368,pre,0.00663334364308319,46
Q348,pre,0.00447617300302018,52
Q350,pre,0.0359153130739035,52
Q351,pre,0.000170721284910418,52
Q363,pre,2.99677633277784e-08,52
Q364,pre,9.28739835267551e-06,52
Q365,pre,0.000130447628177787,52
Q368,pre,0.0120812498410276,52
Q348,pre,0.0109976336549568,58
Q350,pre,0.0650057394504014,58
Q351,pre,0.000765046371114637,58
Q363,pre,5.1807583856394e-07,58
Q364,pre,4.16228110927233e-05,58
Q365,pre,0.000679094829648871,58
Q368,pre,0.0219952673099136,58
Q348,pre,0.0269776389656471,64
Q350,pre,0.11702677173821,64
Q351,pre,0.00342722754892632,64
Q363,pre,8.95628760409064e-06,64
Q364,pre,0.000186532050115644,64
Q365,pre,0.00353215187111529,64
Q368,pre,0.0400176876889601,64
Q348,pre,0.065921655783559,70
Q350,pre,0.208673841981294,70
Q351,pre,0.0153302635711356,70
Q363,pre,0.000154806117681016,70
Q364,pre,0.000835809021106302,70
Q365,pre,0.0182873266029874,70
Q368,pre,0.0727176178990093,70
Q348,pre,0.159581961461195,76
Q350,pre,0.365959864573258,76
Q351,pre,0.0681190443096777,76
Q363,pre,0.00266784584593068,76
Q364,pre,0.00374243284817765,76
Q365,pre,0.092485092108854,76
Q368,pre,0.131843311567118,76
Q348,pre,0.377840136341979,82
Q350,pre,0.624144685562146,82
Q351,pre,0.294040413700914,82
Q363,pre,0.0437450537727526,82
Q364,pre,0.0167044022193869,82
Q365,pre,0.418883268899122,82
Q368,pre,0.23808366880893,82
Q348,pre,0.851106389402927,88
Q350,pre,1.01849095260432,88
Q351,pre,1.13103824759941,88
Q363,pre,0.4,88
Q364,pre,0.073527583712082,88
Q365,pre,1.3,88
Q368,pre,0.426854271271634,88
Q348,pre,1.73430298424998,94
Q350,pre,1.5591122526065,94
Q351,pre,3.1,94
Q363,pre,0.756254946227247,94
Q364,pre,0.30511828767715,94
Q365,pre,2.18111673110088,94
Q368,pre,0.755680272683958,94
Q348,1dy,NaN,34
Q350,1dy,NaN,34
Q351,1dy,0.00291309148827762,34
Q363,1dy,3.25781379807347e-06,34
Q364,1dy,9.49356603493868e-28,34
Q365,1dy,2.59037919281971e-07,34
Q368,1dy,4.71059813473378e-08,34
Q348,1dy,NaN,40
Q350,1dy,NaN,40
Q351,1dy,0.00530667491446656,40
Q363,1dy,9.30941354517079e-06,40
Q364,1dy,3.29649252067587e-25,40
Q365,1dy,1.16092479408444e-06,40
Q368,1dy,2.45279888687284e-07,40
Q348,1dy,NaN,46
Q350,1dy,NaN,46
Q351,1dy,0.00966499987282211,46
Q363,1dy,2.66007559060579e-05,46
Q364,1dy,1.14465553816967e-22,46
Q365,1dy,5.20285138659041e-06,46
Q368,1dy,1.27716727168895e-06,46
Q348,1dy,0.000718720516284017,52
Q350,1dy,3.77598089157005e-06,52
Q351,1dy,0.0175962138479309,52
Q363,1dy,7.5996902950373e-05,52
Q364,1dy,3.97463756657898e-20,52
Q365,1dy,2.33165062644555e-05,52
Q368,1dy,6.65017986211514e-06,52
Q348,1dy,0.00112488081291046,58
Q350,1dy,2.65400011964531e-05,58
Q351,1dy,0.0320141501511681,58
Q363,1dy,0.000217019445290523,58
Q364,1dy,1.38013081305856e-17,58
Q365,1dy,0.000104476127638288,58
Q368,1dy,3.46272342462113e-05,58
Q348,1dy,0.00175854324793498,64
Q350,1dy,0.000186532050115644,64
Q351,1dy,0.0581740943192075,64
Q363,1dy,0.000618918287032361,64
Q364,1dy,4.79228867851998e-15,64
Q365,1dy,0.000467804106022206,64
Q368,1dy,0.000180300107092018,64
Q348,1dy,0.00274423185650378,70
Q350,1dy,0.00131061492795536,70
Q351,1dy,0.105474649253695,70
Q363,1dy,0.00175854324793498,70
Q364,1dy,1.66404739036081e-12,70
Q365,1dy,0.00208805027742336,70
Q368,1dy,0.000938732185574143,70
Q348,1dy,0.00427051123220411,76
Q350,1dy,0.00918921329824127,76
Q351,1dy,0.190466935047144,76
Q363,1dy,0.00494453995607512,76
Q364,1dy,5.77814464639561e-10,76
Q365,1dy,0.00919094796401025,76
Q368,1dy,0.00488560658130909,76
Q348,1dy,0.00661719567774082,82
Q350,1dy,0.063488978349048,82
Q351,1dy,0.341483417017307,82
Q363,1dy,0.0135093382279258,82
Q364,1dy,2.00637042882282e-07,82
Q365,1dy,0.0381397859596438,82
Q368,1dy,0.0253756497683268,82
Q348,1dy,0.0101862940505887,88
Q350,1dy,0.398570746199732,88
Q351,1dy,0.604544218147166,88
Q363,1dy,0.0343009539950802,88
Q364,1dy,6.96675031406895e-05,88
Q365,1dy,0.128328520329843,88
Q368,1dy,0.130432412036881,88
Q348,1dy,0.0155258925112977,94
Q350,1dy,1.6,94
Q351,1dy,1.04732948347788,94
Q363,1dy,0.0743367623409268,94
Q364,1dy,0.0241216849078834,94
Q365,1dy,0.271671479670157,94
Q368,1dy,0.636561592963205,94
Q348,2wk,3.90173041009926e-06,34
Q350,2wk,0.00395619705061564,34
Q351,2wk,5.28506132189644e-08,34
Q363,2wk,0,34
Q364,2wk,3.87015294202541e-05,34
Q365,2wk,7.35147203499664e-13,34
Q368,2wk,1.83125052916553e-26,34
Q348,2wk,1.29541844100442e-05,40
Q350,2wk,0.00835220110969344,40
Q351,2wk,2.75192070234513e-07,40
Q363,2wk,0,40
Q364,2wk,9.51635237676671e-05,40
Q365,2wk,9.41510653073427e-12,40
Q368,2wk,5.47301086171254e-24,40
Q348,2wk,4.3009222215503e-05,46
Q350,2wk,0.0175791082089491,46
Q351,2wk,1.43291937799248e-06,46
Q363,2wk,0,46
Q364,2wk,0.000233902053011103,46
Q365,2wk,1.20580246460591e-10,46
Q368,2wk,1.63570453170452e-21,46
Q348,2wk,0.00014279361095945,52
Q350,2wk,0.036763791856041,52
Q351,2wk,7.46117740627552e-06,52
Q363,2wk,0,52
Q364,2wk,0.000574325831140079,52
Q365,2wk,1.54428373001023e-09,52
Q368,2wk,4.88858762140571e-19,52
Q348,2wk,0.000474069047338391,58
Q350,2wk,0.0758813970841068,58
Q351,2wk,3.88500676908712e-05,58
Q363,2wk,0,58
Q364,2wk,0.00140671743099903,58
Q365,2wk,1.97778019099642e-08,58
Q368,2wk,1.46103947680927e-16,58
Q348,2wk,0.00157371739163307,64
Q350,2wk,0.152559143838575,64
Q351,2wk,0.000202287925030069,64
Q363,2wk,0,64
Q364,2wk,0.00342480666314554,64
Q365,2wk,2.53296346866513e-07,64
Q368,2wk,4.3665707114425e-14,64
Q348,2wk,0.00522220183685688,70
Q350,2wk,0.29188083809017,70
Q351,2wk,0.00105321172040026,70
Q363,2wk,0,70
Q364,2wk,0.008218255640093,70
Q365,2wk,3.24399017664153e-06,70
Q368,2wk,1.30502563965828e-11,70
Q348,2wk,0.0173083620964434,76
Q350,2wk,0.513314081319371,76
Q351,2wk,0.00548141226195654,76
Q363,2wk,0,76
Q364,2wk,0.0190698929798219,76
Q365,2wk,4.15457210397991e-05,76
Q368,2wk,3.90029620277743e-09,76
Q348,2wk,0.0571379980721192,82
Q350,2wk,0.8,82
Q351,2wk,0.0284702412034886,82
Q363,2wk,0,82
Q364,2wk,0.0411740743601895,82
Q365,2wk,0.000532015118121158,82
Q368,2wk,1.16567063676887e-06,82
Q348,2wk,0.186178955038061,88
Q350,2wk,1.08668591868063,88
Q351,2wk,0.146338803748695,88
Q363,2wk,0,88
Q364,2wk,0.0778721532101556,88
Q365,2wk,0.00680288964574115,88
Q368,2wk,0.000348313764782287,88
Q348,2wk,0.582208875457456,94
Q350,2wk,1.30811916190983,94
Q351,2wk,0.714191055519693,94
Q363,2wk,0,94
Q364,2wk,0.122127846789844,94
Q365,2wk,0.0854102246440823,94
Q368,2wk,0.0984263709886934,94
